Наименование,"БВП на човек от населението, лв.",,,,,,,,,,,,"Средна годишна брутна заплата на наетите по трудово и служебно правоотношение, лв.",,,,,,,,,,,,"Размер на средна пенсия, лв.",,,,,,,,,,,Коефициент на Джини на подоходно неравенство,,,,,,,,,,,,,"Относителен дял на населението, живеещо под линията на бедността за страната, %",,,,,
Година,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2019,2020,2021,2022,2023,2024
Благоевград,7533,7660,7659,8013,8449,9069,9989,10627,11179,13011,14642,16449,6271,6566,6818,7181,7658,8297,9024,9810,10881,12226,13833,15999,280,290,299,312,329,346,395,490,620,711,802,23.3,25.5,27.6,26.9,32.1,32.3,36.1,37.2,35.5,34.1,32.1,27.6,28.6,23.9,25.1,19.1,22.9,21.6,19.5
Бургас,9881,10101,9449,10943,12174,13283,13460,14483,12351,17116,19514,22169,7788,8212,8834,9102,9540,10276,11225,12301,13473,14852,16307,18805,349,365,376,389,408,434,495,600,742,872,979,31.1,34.1,34.2,38.9,34.7,38.2,31.8,33,34.4,32.6,38.0,29.7,31.7,20.0,26.5,24.6,22.1,21.0,23.0
Варна,11631,11543,12576,13285,13756,14992,16537,17545,17379,19658,24085,26946,8562,8922,9272,10000,10773,11700,13008,14282,15299,17201,19448,22587,326,339,351,364,384,405,464,569,712,830,935,28.7,31.8,32.9,39.9,40.9,38.1,35.2,39,39,35.9,33.5,33.1,37.1,18.4,22.9,17.3,14.2,14.6,15.2
Велико Търново,7586,7974,8075,8665,9121,9950,11262,12078,12448,14982,17912,20187,6742,7262,7662,8213,8934,9665,10529,11619,13008,14545,16105,18473,292,302,313,325,344,362,412,506,641,738,834,35.3,30.1,43,29.5,31.5,34.7,38,35.2,33.7,32.1,30.8,32.8,27.3,25.8,30.8,22.5,20.7,28.9,25.7
Видин,5695,6016,6283,6494,6712,7758,8357,9267,9424,12062,13177,15071,5855,6195,6663,7011,7522,8233,9103,10302,11253,12855,14566,16402,276,284,292,305,323,337,383,475,603,695,778,40.7,34.5,41.5,42,34.8,42.4,41.3,46.7,37.5,34.2,37.5,33.4,35.2,35.0,43.3,43.3,39.2,33.7,34.9
Враца,9187,8277,9631,9375,9922,12020,15258,13578,16016,17932,26536,27113,9231,9383,9861,10332,10988,11460,12489,13874,15537,17324,19441,21781,302,313,323,336,355,373,427,529,671,786,890,32,34.4,39.5,34.9,38.6,33.3,33,40,41.9,46.9,44.5,39.0,37.8,38.9,33.2,33.5,31.5,19.2,18.0
Габрово,9433,9221,10053,10857,11706,13041,14219,15375,15855,17554,21261,24297,7399,7912,8283,8826,9498,10522,11796,12895,13902,15771,17118,19377,303,314,322,334,351,367,417,510,647,748,845,24.4,23.2,32.2,31.2,29.3,34.4,40.7,33.7,28.2,27.8,30.8,24.3,25.2,17.8,22.3,12.3,21.9,15.7,16.7
Добрич,7591,7957,8185,8470,9045,9826,10047,11002,11803,13761,15166,17075,6738,7164,7581,8084,8705,9539,10429,11440,12548,14099,15837,18200,276,286,295,309,327,343,390,483,609,699,789,34.8,28.8,35.2,31.4,38.2,41.6,36,35.6,33.3,31.6,33.6,41.2,38.3,22.8,25.0,26.0,31.0,32.1,26.8
Кърджали,6381,6228,6219,6764,7243,8006,9175,10799,12783,13435,15138,15593,6266,6842,7222,7648,8335,9285,10419,11356,12705,14508,15693,18079,24,257,263,276,296,309,351,441,561,633,710,25.9,33.9,35.5,35.6,35.2,33.9,33.2,37.1,33.3,31.6,31.6,32.7,30.9,35.2,30.8,25.5,25.9,27.3,33.2
Кюстендил,6404,6485,6990,7699,7944,8501,9519,9768,10285,11872,13517,15030,6444,6880,7091,7486,7942,8642,9476,10576,11519,12719,13988,16205,337,349,360,371,390,409,463,563,699,821,922,30.9,23.1,20.6,25.4,26.5,28.9,29.6,30.8,31.8,30.8,36.8,32.8,31.1,32.9,21.8,17.9,19.9,16.1,20.4
Ловеч,7476,7582,7978,8129,9064,9398,10006,10738,11643,14177,15027,18024,6509,6940,7487,8033,8604,9474,10317,11365,12594,14244,15704,17963,279,288,298,310,329,344,391,485,616,709,800,30.2,31.9,30.1,33.6,37.3,38.4,39.6,36,35.6,34.7,33.9,30.9,33.4,25.3,28.9,28.1,30.3,26.9,31.0
Монтана,6397,6923,6798,7494,8114,9049,9319,9854,10604,12286,12819,15127,6572,6995,7449,7971,8624,9297,10129,11165,12487,13983,15514,17702,278,288,295,307,327,340,387,481,612,704,793,35,28.2,32,31.2,35.7,37.4,39.9,39.5,39.1,37.8,43.2,36.4,34.7,47.4,46.3,42.0,41.0,33.4,29.1
Пазарджик,7808,7541,7153,8410,8011,8705,9851,10783,12005,12621,15307,16057,6862,7264,7650,8006,8721,9468,10513,11675,13090,14842,16407,19073,276,285,294,307,326,342,391,488,621,712,796,38.5,41.5,44,40.2,41.9,41.7,40.9,40.9,35.8,35.5,37.4,33.6,34.3,37.0,32.9,30.6,27.0,27.2,35.4
Перник,6083,5855,6064,6202,7171,8100,9496,9778,9898,11572,14613,15608,6392,6719,7063,7514,8449,9321,10321,11434,12359,14074,16188,18866,363,374,386,399,415,433,491,591,735,861,965,26.8,29.9,28.5,29.2,33.1,29.1,28.2,27.5,28.9,30,32.6,25.7,28.2,14.2,16.8,19.1,19.0,15.2,20.3
Плевен,6375,6670,6749,7104,7409,8051,8976,10035,10395,13065,15904,17703,6646,7046,7400,7892,8630,9401,10461,11567,12660,14608,17030,19062,290,299,308,321,340,355,404,499,633,734,825,28.9,27,25.8,31,30.3,33.3,33.2,36.9,39,36.9,36.9,33.1,41.9,20.4,28.3,21.6,31.4,26.4,25.4
Пловдив,9239,9502,9392,10458,11618,12590,13674,15165,15551,16390,21605,22209,7418,7922,8504,9084,9911,10771,11780,12996,14171,15937,17931,20551,301,313,324,337,356,373,426,525,658,763,861,27.3,30.7,28.2,31.3,34.2,35,32.2,33.9,36.8,33.3,34.5,37.8,35.8,22.7,25.8,26.8,29.4,26.6,27.0
Разград,7770,7890,8225,7970,8641,9337,10140,10981,11309,13687,15218,17081,7065,7533,8351,8702,9694,10453,11569,12814,13902,15517,16955,19228,248,256,264,276,295,307,350,441,566,647,730,31.7,31.9,24.8,26.1,29.5,32.4,32.1,29.7,29.4,29.1,27.6,29.0,31.8,28.0,23.1,16.7,27.7,31.3,34.6
Русе,8750,9141,10000,10419,11179,11986,12667,13873,14136,16399,18615,21678,7155,7589,8028,8563,9287,10243,11185,12329,13591,15443,17154,19662,292,302,312,325,343,361,413,505,636,736,831,25.3,28,26.2,28.2,30.1,30.1,34.1,38.9,35,34.6,34.2,35.6,32.2,22.2,22.8,24.0,18.5,20.0,16.1
Силистра,5534,5755,6061,6216,6433,7163,7504,8276,8900,10806,11986,13114,6390,6880,7215,7494,7967,8672,9434,10572,11727,13272,14813,16796,259,267,273,286,306,312,356,447,575,654,739,36,30.7,29,30.4,27.4,33.4,32.5,31.9,35,31.1,32.5,33.9,39.6,24.0,32.4,23.4,34.4,25.6,35.9
Сливен,6291,5750,6081,6044,6646,7384,7963,8556,8854,10970,11890,13493,6589,6999,7265,7830,8438,9113,10005,11085,12370,14033,15312,17848,295,306,316,327,345,362,411,503,634,739,828,39.7,33.7,39.7,35.7,42.1,43.9,38.9,41.3,39.3,35.1,35.8,31.9,37.9,33.9,34.4,32.0,29.2,21.4,33.6
Смолян,7766,7585,7982,8975,9038,10289,10948,12184,12564,13176,15406,17016,6516,6800,7253,7679,8504,9133,10145,11106,12037,13379,14633,16682,303,312,322,336,355,374,425,524,656,761,854,30.6,33.3,29.1,30.5,31.9,36.3,28.3,32,34.8,49.2,36.9,27.7,31.1,21.2,24.4,23.0,28.7,14.7,22.4
София,9902,7434,8046,9616,10177,12450,12881,14743,16843,19479,22688,24251,8926,9252,9766,10507,11230,12149,13425,14586,15857,17697,19330,22207,314,328,339,354,374,393,450,552,695,814,915,25.2,28.7,31.7,31.9,32,33.9,29.5,33.5,32.6,29.8,30.3,30.9,34.4,17.6,22.8,21.8,23.0,26.1,22.1
София (столица),26084,27630,27815,29783,31458,33434,35844,41005,40849,47037,54277,61833,12059,12851,13542,14531,15658,17199,19026,21040,22950,25724,29698,34262,373,390,406,421,440,466,535,650,810,957,1079,32.6,35.4,33,36.6,36.7,42.3,44.3,44.7,41.4,45.4,38.8,37.9,39.3,10.0,9.2,11.3,11.7,8.1,10.0
Стара Загора,11869,12546,14710,13973,16991,18124,17908,17010,17054,20986,40258,36470,9117,9414,10035,10667,11250,12248,13190,13914,15010,16673,18980,22234,327,341,353,365,385,408,465,567,710,831,936,34.9,36.6,34,29.5,34.1,36.3,30.5,34.4,37.6,36.6,37.8,35.6,34.6,23.1,25.9,28.1,29.1,23.1,25.2
Търговище,7176,7481,7323,8135,9292,9691,11677,12954,11196,14367,17090,18802,6556,7195,7465,7902,8963,9754,10833,12035,13368,15110,17343,18562,257,265,274,285,303,317,361,451,576,659,738,31.9,26.7,41.4,34.1,26.7,27.7,32.9,28.1,26.9,30.1,30.7,34.7,36.5,30.2,22.7,21.4,24.7,36.5,32.3
Хасково,6425,6206,6508,7175,7592,8232,8937,9495,9691,10295,11845,13012,6267,6581,6947,7422,7964,8537,9623,10566,11642,12906,14308,16344,312,325,335,344,360,377,427,521,652,757,846,30.8,35.2,29.5,32.1,37.9,42.8,40.5,42.3,32.9,32.2,31.1,30.0,30.9,30.9,38.9,32.9,30.2,26.0,26.7
Шумен,7190,7496,7698,8066,8680,9635,10164,11189,11869,13379,15532,17129,7068,7405,7968,8505,9026,9994,11028,12124,13345,15105,16702,19168,273,283,291,303,321,335,381,473,599,688,781,37,38.1,31.1,35.8,30.7,35.9,33.1,31,26.1,33.2,33.8,28.6,29.5,29.1,21.5,15.4,22.5,15.1,19.4
Ямбол,7426,7214,7916,8406,8831,9348,10117,10659,11135,13278,16348,17865,6679,7111,7472,8053,8625,9530,10815,12048,13055,14779,16472,18355,304,315,325,337,357,374,425,521,654,763,857,35.5,29.9,35.5,25.8,28.4,39,37.2,40.4,37.7,34.7,33.7,34.2,28.5,33.2,31.4,24.0,20.2,26.7,18.9
България,11376,11488,11896,12825,13831,15093,16359,18122,18485,21453,26041,28733,8773,9301,9860,10535,11379,12448,13775,15209,16687,18733,21242,24485,310,322,333,345,364,383,437,537,675,784,883,33.6,35.4,35.4,37,37.7,40.1,39.6,40.8,40,39.7,38.4,37.2,38.4,22.6,23.8,22.1,22.9,20.6,21.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Източник: НСИ,,,,,,,,,,,,Източник: НСИ,,,,,,,,,,,Източник: НОИ,,,,,,,,,,,,,Източник: НСИ,,,,,Източник: НСИ,,